"race_dichotomized","exposure","outcome_PC1","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
0,"social_relationships2_d","IL_10","social_relationships2_dLow",-0.142987564016856,0.26757313792143,-0.534386841398268,-0.677065782620792,0.39109065458708,0.594842796997205
1,"social_relationships2_d","IL_10","social_relationships2_dLow",-0.622314263661277,0.232174296256571,-2.68037536322958,-1.09955536451285,-0.145073162809704,0.01259407200479
0,"social_relationships2_d","IFN_gamma","social_relationships2_dLow",-0.269959353977559,0.277554239672078,-0.972636390986167,-0.823959935058166,0.284041227103048,0.334232536439128
1,"social_relationships2_d","IFN_gamma","social_relationships2_dLow",-0.460002965253611,0.331420701133016,-1.3879729409811,-1.14124797300819,0.221242042500965,0.176925464709255
0,"social_relationships2_d","IL_12p70","social_relationships2_dLow",-0.0119465670176386,0.272127671297926,-0.0439005962188955,-0.55511567228975,0.531222538254473,0.965114216920299
1,"social_relationships2_d","IL_12p70","social_relationships2_dLow",-0.53464949021648,0.260172599680628,-2.05498000509194,-1.06944192798826,0.000142947555298756,0.0500568925513285
0,"social_relationships2_d","IFN_alpha2","social_relationships2_dLow",-0.342256169553176,0.219572965198902,-1.55873547202472,-0.78052564240829,0.096013303301937,0.123770412203293
1,"social_relationships2_d","IFN_alpha2","social_relationships2_dLow",-0.218857746796221,0.334390973558826,-0.654496574674197,-0.906208236962838,0.468492743370395,0.518540255339489
0,"social_relationships2_d","CX3CL1","social_relationships2_dLow",-0.478610283750091,0.294569423984865,-1.62477923633609,-1.0665733148643,0.10935274736412,0.10890507889037
1,"social_relationships2_d","CX3CL1","social_relationships2_dLow",0.0585267676812965,0.394663770497475,0.148295263098316,-0.752716230942058,0.869769766304651,0.883253902498396
0,"social_relationships2_d","IFN_lambda1","social_relationships2_dLow",-0.236161922282813,0.278581530745258,-0.847730004394172,-0.792212984927502,0.319889140361877,0.399606627770706
1,"social_relationships2_d","IFN_lambda1","social_relationships2_dLow",-0.4618891813403,0.273887380281686,-1.6864200930516,-1.02487275438208,0.101094391701481,0.103679778878298
0,"social_relationships2_d","IFN_lambda2_3","social_relationships2_dLow",-0.0331600243778115,0.27601263247814,-0.120139517094159,-0.584083544620694,0.517763495865071,0.904732168402197
1,"social_relationships2_d","IFN_lambda2_3","social_relationships2_dLow",-0.771421747436963,0.267632341900054,-2.88239359249432,-1.32154790494546,-0.221295589928469,0.00781497876292959
0,"social_relationships2_d","sTREM_1","social_relationships2_dLow",-0.49458735129541,0.322427378596262,-1.53394960889697,-1.13815509254003,0.148980389949205,0.129750920245995
1,"social_relationships2_d","sTREM_1","social_relationships2_dLow",0.0129006340057681,0.273784984345772,0.0471195819471074,-0.549872461175345,0.575673729186881,0.962777996050848
0,"social_relationships2_d","sRAGE","social_relationships2_dLow",-0.398938202097918,0.321860917323947,-1.23947388646878,-1.04137528191076,0.243498877714925,0.219494149842916
1,"social_relationships2_d","sRAGE","social_relationships2_dLow",-0.242813948452426,0.345146980366612,-0.703508830338053,-0.95227372725469,0.466645830349838,0.487991479273261
0,"social_relationships2_d","GM_CSF","social_relationships2_dLow",0.0815929320601352,0.231741166738158,0.352086481692423,-0.380964372720797,0.544150236841067,0.725878450904375
1,"social_relationships2_d","GM_CSF","social_relationships2_dLow",-0.390154151277687,0.19326115177444,-2.01879243549705,-0.787408138096077,0.00709983554070309,0.0539327012446198
0,"social_activities2_d","IL_10","social_activities2_dLow",0.129645882171835,0.343668691655393,0.377240887284067,-0.556319697389273,0.815611461732943,0.707186888980772
1,"social_activities2_d","IL_10","social_activities2_dLow",-0.686467442589021,0.233571053472207,-2.93900906120075,-1.16657961901597,-0.206355266162071,0.00682119865344514
0,"social_activities2_d","IFN_gamma","social_activities2_dLow",0.146500105645967,0.358166991726115,0.409027378374369,-0.568404201975468,0.861404413267402,0.683824141160477
1,"social_activities2_d","IFN_gamma","social_activities2_dLow",-0.612112416135137,0.331994867403721,-1.84374060033518,-1.29453763956182,0.0703128072915492,0.0766474471572041
0,"social_activities2_d","IL_12p70","social_activities2_dLow",0.51957410530719,0.343332744860442,1.51332523065456,-0.165720921644687,1.20486913225907,0.134900238723608
1,"social_activities2_d","IL_12p70","social_activities2_dLow",-0.711537747149707,0.252286988820661,-2.82035054790522,-1.23012107965714,-0.192954414642274,0.00906100916233076
0,"social_activities2_d","IFN_alpha2","social_activities2_dLow",0.0406209093028774,0.286736890924058,0.141666142685616,-0.531708320388782,0.612950138994537,0.88776883374943
1,"social_activities2_d","IFN_alpha2","social_activities2_dLow",-0.53183547087163,0.330439717490847,-1.60947804613216,-1.2110640378709,0.14739309612764,0.119588130687953
0,"social_activities2_d","CX3CL1","social_activities2_dLow",-0.244089792834998,0.384157626278822,-0.635389684175727,-1.01087162415005,0.522692038480059,0.527338507992208
1,"social_activities2_d","CX3CL1","social_activities2_dLow",0.193124324678564,0.404039538740629,0.477983727237496,-0.637390841578485,1.02363949093561,0.636656165725828
0,"social_activities2_d","IFN_lambda1","social_activities2_dLow",0.0817839377636694,0.359199511912441,0.227683877765416,-0.635181288775373,0.798749164302712,0.820585390330957
1,"social_activities2_d","IFN_lambda1","social_activities2_dLow",-0.310241627434282,0.290191069437787,-1.06909433165997,-0.906737913494911,0.286254658626346,0.294852751900137
0,"social_activities2_d","IFN_lambda2_3","social_activities2_dLow",0.167252469436311,0.353578936493292,0.473027242785102,-0.538494041611679,0.872998980484301,0.637731209180643
