"","exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"860","isolation_cat_nominal","GM_CSF","isolation_cat_nominalSomewhat Isolated",-0.0298621214666667,0.224737568600032,-0.132875520780474,0.894551074371766,-0.470347755922729,0.410623512989395
"861","isolation_item_visit","IL_1beta","isolation_item_visit1",-0.0652779309999989,0.498282376094125,-0.131005899730373,0.896033835612422,-1.04191138814448,0.911355526144486
"862","social_activities_d","CX3CL1","social_activities_dHigh",-0.0612644815907595,0.482875613971975,-0.126874250465494,0.899282574033271,-1.00770068497583,0.885171721794312
"863","isolation_cat_d","VILIP_1","isolation_cat_dHigh",0.0301797895658532,0.239072271039861,0.126237097403995,0.899785656348234,-0.438401861672274,0.498761440803981
"864","race_f","IL_18","race_fBlack",-0.0315370776880141,0.253770374153456,-0.124274071759627,0.901342854284606,-0.528927011028788,0.46585285565276
"865","isolation_item_communicate_d","IL_6","isolation_item_communicate_dHigh",-0.0265585995977012,0.217287073660301,-0.12222816180599,0.902954197867479,-0.452441263971891,0.399324064776488
"866","social_activities_nominal","IFN_beta","social_activities_nominalVery good",-0.0260685086777936,0.217535815590841,-0.119835479077272,0.904846909792067,-0.452438707235842,0.400301689880255
"867","isolation_item_communicate","IL_18","isolation_item_communicate3",-0.0393918875176283,0.330257537562169,-0.119276270901805,0.905298186324215,-0.686696661139479,0.607912886104223
"868","isolation_item_communicate","IL_10","isolation_item_communicate2",0.0493331082619049,0.414374017855618,0.119054540429932,0.905473394455266,-0.762839966735106,0.861506183258916
"869","isolation_item_visit","VEGF","isolation_item_visit2",0.067680368351723,0.57365262137288,0.117981450498297,0.906319012710572,-1.05667876953912,1.19203950624257
"870","isolation_item_visit","IFN_lambda2_3","isolation_item_visit2",0.0585531820551724,0.496683764185727,0.117888254614414,0.906392667478287,-0.914946995748852,1.0320533598592
"871","isolation_item_communicate","sTREM_2","isolation_item_communicate1",0.0448428813958331,0.385296192553693,0.116385477620789,0.907582812381091,-0.710337656009406,0.800023418801072
"872","social_relationships_nominal","sRAGE","social_relationships_nominalGood",0.0364780354533174,0.31581098662849,0.115505910173508,0.908269024715432,-0.582511498338524,0.655467569245158
"873","isolation_item_communicate","GM_CSF","isolation_item_communicate2",0.0421507565654764,0.366011888236432,0.115162260899701,0.90854976903495,-0.675232544377931,0.759534057508883
"874","isolation_item_communicate","VEGF","isolation_item_communicate1",-0.0571845588958331,0.515921662598207,-0.110839615859216,0.91196792588629,-1.06839101758832,0.954021899796653
"875","isolation_item_visit","beta_NGF","isolation_item_visit1",0.046216328044441,0.42406012537382,0.108985319012723,0.913432529631752,-0.784941517688246,0.877374173777128
"876","social_activities_nominal","IL_18","social_activities_nominalVery good",0.0275421707423804,0.257727533092969,0.10686545753125,0.915103588220605,-0.477603794119839,0.5326881356046
"877","isolation_item_communicate","IL_8","isolation_item_communicate5",-0.0358269968149515,0.345281348627433,-0.10376174953374,0.9175683331547,-0.71257844012472,0.640924446494817
"878","social_activities_ordinal","CX3CL1","social_activities_ordinal.L",-0.0370301052796816,0.357647352356377,-0.103538038337784,0.917737291371791,-0.738018915898181,0.663958705338818
"879","isolation_item_communicate","IFN_beta","isolation_item_communicate1",-0.0386879817291665,0.393722222742961,-0.0982621236353825,0.921922830908174,-0.810383538305371,0.733007574847038
"880","isolation_cat_d","IFN_beta","isolation_cat_dHigh",0.0200123137941466,0.205672249069287,0.0973019640943628,0.922672086984571,-0.383105294381656,0.423129921969949
"881","social_activities_ordinal","sTREM_2","social_activities_ordinal.Q",-0.022522979429333,0.231944887555719,-0.0971048755016099,0.922831810481132,-0.477134959038541,0.432089000179875
"882","race_f","IFN_gamma","race_fOther",0.0465387033351352,0.491927334103392,0.0946048330897462,0.924814310455157,-0.917638871507513,1.01071627817778
"883","isolation_item_communicate","sTREM_1","isolation_item_communicate3",0.0336482240128206,0.363182666750384,0.0926482100973918,0.92637027046135,-0.678189802817932,0.745486250843573
"884","social_activities_ordinal","sRAGE","social_activities_ordinal.Q",0.0289022216366386,0.312382374192696,0.0925219347324952,0.926463083480861,-0.583367231781046,0.641171675054323
