"race_dichotomized","exposure","outcome","term","estimate","std.error","conf.low","conf.high","statistic","p.value"
0,"isolation_cat_ordinal","IL_10","isolation_cat_ordinal.L",-0.205636841050535,0.313045911910188,-0.829987225452467,0.418713543351397,-0.656890357697858,0.513405359192044
0,"isolation_cat_ordinal","IL_10","isolation_cat_ordinal.Q",0.102469092327923,0.286541824307864,-0.4690205561463,0.673958740802145,0.357606058296846,0.721714136026933
0,"isolation_cat_ordinal","IL_10","isolation_cat_ordinal.C",-0.336476800940045,0.257322154490585,-0.849689655536985,0.176736053656895,-1.30760913923701,0.195284360736954
1,"isolation_cat_ordinal","IL_10","isolation_cat_ordinal.L",-0.32982484922766,0.272343736385739,-0.886830331732948,0.227180633277628,-1.21106089534039,0.235649262310501
1,"isolation_cat_ordinal","IL_10","isolation_cat_ordinal.Q",0.132028505029762,0.260496978468507,-0.400747637020034,0.664804647079558,0.506833153328585,0.616104180563283
1,"isolation_cat_ordinal","IL_10","isolation_cat_ordinal.C",0.0764778135689438,0.248085148354147,-0.430913285617846,0.583868912755734,0.308272438218551,0.760078540556324
0,"isolation_cat_ordinal","IFN_gamma","isolation_cat_ordinal.L",-0.296206302662346,0.313129951093565,-0.920724297930448,0.328311692605756,-0.94595327475984,0.347426391196994
0,"isolation_cat_ordinal","IFN_gamma","isolation_cat_ordinal.Q",0.190955524248197,0.286618748298889,-0.380687544288512,0.762598592784905,0.666235287752588,0.507450536476397
0,"isolation_cat_ordinal","IFN_gamma","isolation_cat_ordinal.C",-0.413727542157074,0.25739123427379,-0.927078172037314,0.099623087723165,-1.60738784801423,0.112470996176458
1,"isolation_cat_ordinal","IFN_gamma","isolation_cat_ordinal.L",-0.365840102754586,0.342939281122999,-1.06722968595902,0.335549480449852,-1.06677806507495,0.294872912402162
1,"isolation_cat_ordinal","IFN_gamma","isolation_cat_ordinal.Q",0.0551778832023809,0.328021667456939,-0.615701754342348,0.726057520747109,0.168214141554001,0.867582502085608
1,"isolation_cat_ordinal","IFN_gamma","isolation_cat_ordinal.C",0.327699170620872,0.312392506480713,-0.311215243613615,0.966613584855359,1.04899817960615,0.302842963991929
0,"isolation_cat_ordinal","IL_12p70","isolation_cat_ordinal.L",-0.0272345418082305,0.308517746041624,-0.642553784153643,0.588084700537182,-0.0882754465753037,0.929909815275591
0,"isolation_cat_ordinal","IL_12p70","isolation_cat_ordinal.Q",0.154593523006133,0.282397036404934,-0.408629606654066,0.717816652666333,0.54743323433628,0.585822372377773
0,"isolation_cat_ordinal","IL_12p70","isolation_cat_ordinal.C",-0.259245549224878,0.253600025074872,-0.765034850780306,0.246543752330549,-1.02226152835884,0.310177106030901
1,"isolation_cat_ordinal","IL_12p70","isolation_cat_ordinal.L",-0.322460797317608,0.289277819213927,-0.914100367985437,0.269178773350222,-1.11470972158823,0.274127918460462
1,"isolation_cat_ordinal","IL_12p70","isolation_cat_ordinal.Q",0.0440302638333334,0.276694440794685,-0.521873408293289,0.609933935959956,0.159129557163764,0.874669880096375
1,"isolation_cat_ordinal","IL_12p70","isolation_cat_ordinal.C",-0.0497626766741374,0.263510854509262,-0.588702887340197,0.489177533991923,-0.18884488370246,0.851529796445321
0,"isolation_cat_ordinal","IFN_alpha2","isolation_cat_ordinal.L",-0.35774505590303,0.250644403658014,-0.857639556416331,0.142149444610271,-1.42730119117739,0.157938912262912
0,"isolation_cat_ordinal","IFN_alpha2","isolation_cat_ordinal.Q",0.0608675376085861,0.229423550809151,-0.396703306439507,0.518438381656679,0.265306405527738,0.791553179441142
0,"isolation_cat_ordinal","IFN_alpha2","isolation_cat_ordinal.C",-0.323367534261746,0.206028430675663,-0.734278282481266,0.0875432139577739,-1.56952869660402,0.121034421014406
1,"isolation_cat_ordinal","IFN_alpha2","isolation_cat_ordinal.L",-0.190894566266992,0.344016944139545,-0.8944882178171,0.512699085283116,-0.5548987325158,0.583218964920859
1,"isolation_cat_ordinal","IFN_alpha2","isolation_cat_ordinal.Q",0.00360490686309523,0.329052452902359,-0.669382923629284,0.676592737355475,0.0109554170810723,0.991334037334776
1,"isolation_cat_ordinal","IFN_alpha2","isolation_cat_ordinal.C",0.541615471007925,0.313374178366704,-0.0993066876666399,1.18253762968249,1.72833471420909,0.0945636647973528
0,"isolation_cat_ordinal","CX3CL1","isolation_cat_ordinal.L",-0.707543736505704,0.326696620525098,-1.35911960077119,-0.05596787224022,-2.16575162414742,0.0337390104441757
0,"isolation_cat_ordinal","CX3CL1","isolation_cat_ordinal.Q",0.403626908047619,0.299036793259043,-0.192783170213265,1.0000369863085,1.34975667592173,0.181442930865231
0,"isolation_cat_ordinal","CX3CL1","isolation_cat_ordinal.C",-0.325643283590147,0.268542967852044,-0.861235344779439,0.209948777599145,-1.21263009117246,0.229347960403671
1,"isolation_cat_ordinal","CX3CL1","isolation_cat_ordinal.L",0.314823654350928,0.373580209714525,-0.449233664271372,1.07888097297323,0.842720374806532,0.406281818964243
1,"isolation_cat_ordinal","CX3CL1","isolation_cat_ordinal.Q",-0.183915580089286,0.357329737550597,-0.914736951343267,0.546905791164695,-0.5146943026628,0.610667404740116
1,"isolation_cat_ordinal","CX3CL1","isolation_cat_ordinal.C",0.350935495901598,0.340304142768801,-0.345064624229714,1.04693561603291,1.03124073966981,0.310952206196668
0,"isolation_cat_ordinal","IFN_lambda1","isolation_cat_ordinal.L",-0.394640450246402,0.310135039041924,-1.01318528177222,0.223904381279416,-1.27247940595663,0.207413403498477
0,"isolation_cat_ordinal","IFN_lambda1","isolation_cat_ordinal.Q",0.280109336982684,0.283877401006786,-0.286066286778401,0.846284960743769,0.986726438910817,0.327175206588751
0,"isolation_cat_ordinal","IFN_lambda1","isolation_cat_ordinal.C",-0.350934626027515,0.254929431731998,-0.859375345556552,0.157506093501522,-1.37659517633274,0.173024738055256
1,"isolation_cat_ordinal","IFN_lambda1","isolation_cat_ordinal.L",-0.459091283729864,0.29306235169115,-1.05847109240172,0.140288524941996,-1.56653108487196,0.128072563721868
1,"isolation_cat_ordinal","IFN_lambda1","isolation_cat_ordinal.Q",0.164020570273809,0.280314348813558,-0.409286645034805,0.737327785582424,0.585130839602159,0.562985395318737
1,"isolation_cat_ordinal","IFN_lambda1","isolation_cat_ordinal.C",0.21398928277888,0.266958285735413,-0.332001716420119,0.759980281977878,0.801583221848256,0.429313563492944
0,"isolation_cat_ordinal","IFN_lambda2_3","isolation_cat_ordinal.L",-0.316281001806158,0.308428574687687,-0.931422397493971,0.298860393881655,-1.0254594669979,0.308677125234211
0,"isolation_cat_ordinal","IFN_lambda2_3","isolation_cat_ordinal.Q",0.167612926691919,0.282315414759479,-0.395447413729461,0.730673267113299,0.593708022761415,0.554621160451619
0,"isolation_cat_ordinal","IFN_lambda2_3","isolation_cat_ordinal.C",-0.0245791579315498,0.253526726673452,-0.530222270434953,0.481063954571853,-0.0969489814902563,0.923043956636417
1,"isolation_cat_ordinal","IFN_lambda2_3","isolation_cat_ordinal.L",-0.65525823884269,0.302122331496295,-1.27316778676915,-0.0373486909162247,-2.16885072876755,0.0384350222423753
1,"isolation_cat_ordinal","IFN_lambda2_3","isolation_cat_ordinal.Q",0.55883457627381,0.288980225971397,-0.0321963478730989,1.14986550042072,1.93381597095547,0.062948923501343
1,"isolation_cat_ordinal","IFN_lambda2_3","isolation_cat_ordinal.C",0.183717701351902,0.275211262153646,-0.379152529853489,0.746587932557292,0.667551538095615,0.509697697240223
0,"isolation_cat_ordinal","sTREM_1","isolation_cat_ordinal.L",-0.734327644387716,0.361985651338198,-1.45628526134528,-0.0123700274301491,-2.02860981277306,0.0463038016922774
0,"isolation_cat_ordinal","sTREM_1","isolation_cat_ordinal.Q",0.417916958598125,0.331338072025281,-0.24291598879181,1.07874990598806,1.26130074954453,0.21138778333808
0,"isolation_cat_ordinal","sTREM_1","isolation_cat_ordinal.C",-0.251913351402295,0.297550372495349,-0.84535885692836,0.34153215412377,-0.846624217908623,0.400089740434447
1,"isolation_cat_ordinal","sTREM_1","isolation_cat_ordinal.L",0.226472498432713,0.260191175702163,-0.305678206734708,0.758623203600135,0.870408067535517,0.391225602517457
1,"isolation_cat_ordinal","sTREM_1","isolation_cat_ordinal.Q",-0.0370605383273812,0.248873045490504,-0.546063068092401,0.471941991437638,-0.148913427946118,0.882652668294159
1,"isolation_cat_ordinal","sTREM_1","isolation_cat_ordinal.C",0.286083067173111,0.237015057813134,-0.198667154698107,0.770833289044329,1.20702486083674,0.237176095946548
0,"isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.L",-0.602144910428572,0.365430583150095,-1.33097322723931,0.126683406382163,-1.64776824434875,0.10388217530197
0,"isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.Q",0.414150353579365,0.334491338074896,-0.25297158464321,1.08127229180194,1.23814971102969,0.219797052457167
0,"isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.C",-0.130161261579356,0.300382089001409,-0.729254447595121,0.468931924436409,-0.433318983871724,0.666115428854901
1,"isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.L",0.180738033075928,0.324043509543757,-0.482005357983676,0.843481424135532,0.557758534742453,0.581289769322465
1,"isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.Q",-0.485206343636905,0.309947848438565,-1.11912087077871,0.148708183504903,-1.56544510981846,0.128326776111706
1,"isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.C",-0.194161677692766,0.295179845900693,-0.797872248289026,0.409548892903495,-0.657774168491461,0.515870965524045
0,"isolation_cat_ordinal","GM_CSF","isolation_cat_ordinal.L",-0.0216378290105158,0.274839745664688,-0.569788417553923,0.526512759532892,-0.0787288932981132,0.937472889557013
0,"isolation_cat_ordinal","GM_CSF","isolation_cat_ordinal.Q",0.133471173280303,0.251570389897515,-0.368270148554047,0.635212495114654,0.530551999123096,0.59740845840416
0,"isolation_cat_ordinal","GM_CSF","isolation_cat_ordinal.C",0.0551626591907641,0.225916879292683,-0.395414349046095,0.505739667427623,0.244172367126668,0.807811589932374
1,"isolation_cat_ordinal","GM_CSF","isolation_cat_ordinal.L",-0.0177859078606034,0.240636389859193,-0.509942585376426,0.47437076965522,-0.0739119626545706,0.941587911109454
1,"isolation_cat_ordinal","GM_CSF","isolation_cat_ordinal.Q",-0.0642924575892857,0.230168878857946,-0.535040671326008,0.406455756147437,-0.279327326562534,0.78197614608871
1,"isolation_cat_ordinal","GM_CSF","isolation_cat_ordinal.C",0.065947735985148,0.219202083623724,-0.382370863059344,0.51426633502964,0.300853599997489,0.765672615413268
0,"isolation_cat_nominal","IL_10","isolation_cat_nominalSomewhat Isolated",-0.495386683282829,0.324130596145226,-1.14184477329539,0.151071406729729,-1.52835520365646,0.130930807203755
0,"isolation_cat_nominal","IL_10","isolation_cat_nominalVery Isolated",-0.135919274484128,0.39418752981688,-0.922101512948325,0.65026296398007,-0.344808661368027,0.731272091104948
0,"isolation_cat_nominal","IL_10","isolation_cat_nominalMost Isolated",-0.426367773111112,0.451598548348379,-1.32705267755911,0.47431713133689,-0.944130078961628,0.348350580893973
1,"isolation_cat_nominal","IL_10","isolation_cat_nominalSomewhat Isolated",-0.211126825773809,0.346318154576303,-0.91942698112196,0.497173329574342,-0.609632567579683,0.546852523969474
1,"isolation_cat_nominal","IL_10","isolation_cat_nominalVery Isolated",-0.461234736428571,0.389228003843186,-1.2572953874368,0.334825914579654,-1.18499884868098,0.245638284133733
1,"isolation_cat_nominal","IL_10","isolation_cat_nominalMost Isolated",-0.408304552142857,0.389228003843186,-1.20436520315108,0.387756098865369,-1.04901124305372,0.302837053300329
0,"isolation_cat_nominal","IFN_gamma","isolation_cat_nominalSomewhat Isolated",-0.693472173242424,0.324217611083199,-1.34010380907655,-0.0468405374082944,-2.13890963826906,0.0359332229317928
0,"isolation_cat_nominal","IFN_gamma","isolation_cat_nominalVery Isolated",-0.270865913809524,0.394293351988143,-1.05725920793934,0.515527380320288,-0.686965459710996,0.494374124543301
0,"isolation_cat_nominal","IFN_gamma","isolation_cat_nominalMost Isolated",-0.582427038555555,0.451719782875883,-1.48335373764444,0.318499660533328,-1.28935472971213,0.201518985249239
1,"isolation_cat_nominal","IFN_gamma","isolation_cat_nominalSomewhat Isolated",0.0743164977380953,0.436088968104721,-0.817585586436742,0.966218581912933,0.170415908618558,0.865866445497218
1,"isolation_cat_nominal","IFN_gamma","isolation_cat_nominalVery Isolated",-0.528946743,0.49012168813702,-1.53135814782995,0.473464661829954,-1.07921513330813,0.289386478252322
1,"isolation_cat_nominal","IFN_gamma","isolation_cat_nominalMost Isolated",-0.344274478857143,0.49012168813702,-1.3466858836871,0.658136925972811,-0.702426534450555,0.488013535675847
0,"isolation_cat_nominal","IL_12p70","isolation_cat_nominalSomewhat Isolated",-0.398649448742425,0.319442091850549,-1.03575661179098,0.23845771430613,-1.24795529115472,0.216205846097495
0,"isolation_cat_nominal","IL_12p70","isolation_cat_nominalVery Isolated",-0.0630147035476194,0.388485661654991,-0.837824924543317,0.711795517448079,-0.162205995658038,0.871610954071341
0,"isolation_cat_nominal","IL_12p70","isolation_cat_nominalMost Isolated",-0.152477106277778,0.44506623773475,-1.04013372801234,0.735179515456784,-0.342594187898502,0.732930391453708
1,"isolation_cat_nominal","IL_12p70","isolation_cat_nominalSomewhat Isolated",-0.232748207523809,0.367851898631992,-0.985089814520753,0.519593399473134,-0.632722594036837,0.53187261608026
1,"isolation_cat_nominal","IL_12p70","isolation_cat_nominalVery Isolated",-0.310193423428572,0.413429842826533,-1.15575239291966,0.535365546062519,-0.750292773515922,0.459122956440739
1,"isolation_cat_nominal","IL_12p70","isolation_cat_nominalMost Isolated",-0.454881103285715,0.413429842826533,-1.30044007277681,0.390677866205376,-1.100261897341,0.280267618332199
0,"isolation_cat_nominal","IFN_alpha2","isolation_cat_nominalSomewhat Isolated",-0.510084705661616,0.259519504606867,-1.02768003687803,0.00751062555479243,-1.96549660663971,0.0533251543974914
0,"isolation_cat_nominal","IFN_alpha2","isolation_cat_nominalVery Isolated",-0.236230085388889,0.315611527195804,-0.865697428130983,0.393237257353204,-0.748483705547082,0.456676019736882
0,"isolation_cat_nominal","IFN_alpha2","isolation_cat_nominalMost Isolated",-0.624579715833333,0.361578428393847,-1.34572515223792,0.0965657205712551,-1.72736996122184,0.0885113774882756
1,"isolation_cat_nominal","IFN_alpha2","isolation_cat_nominalSomewhat Isolated",0.395460052130952,0.437459347582135,-0.499244772772065,1.29016487703397,0.90399268941602,0.373447908389027
1,"isolation_cat_nominal","IFN_alpha2","isolation_cat_nominalVery Isolated",-0.416563999714286,0.491661861707055,-1.42212541318371,0.588997413755134,-0.847257093051658,0.403790149200819
1,"isolation_cat_nominal","IFN_alpha2","isolation_cat_nominalMost Isolated",-0.013894133857143,0.491661861707056,-1.01945554732656,0.991667279612277,-0.0282595314773905,0.97764873809185
0,"isolation_cat_nominal","CX3CL1","isolation_cat_nominalSomewhat Isolated",-1.01131429383333,0.338264664512889,-1.68596189433867,-0.336666693328,-2.98971308543166,0.00385094133352154
0,"isolation_cat_nominal","CX3CL1","isolation_cat_nominalVery Isolated",-0.890841161095239,0.411376507230217,-1.71130573402599,-0.0703765881644866,-2.16551296789707,0.0337579920336755
0,"isolation_cat_nominal","CX3CL1","isolation_cat_nominalMost Isolated",-1.09490163883333,0.471290995877254,-2.03486189145453,-0.154941386212137,-2.32319659915272,0.0230795483059687
1,"isolation_cat_nominal","CX3CL1","isolation_cat_nominalSomewhat Isolated",0.638595248321428,0.475052632131464,-0.332996476487005,1.61018697312986,1.3442620988251,0.189285677410914
1,"isolation_cat_nominal","CX3CL1","isolation_cat_nominalVery Isolated",0.308559292,0.53391306601064,-0.783415536926917,1.40053412092692,0.577920473656006,0.567778619893729
1,"isolation_cat_nominal","CX3CL1","isolation_cat_nominalMost Isolated",0.579323380142857,0.533913066010641,-0.51265144878406,1.67129820906977,1.08505188770059,0.286836772553933
0,"isolation_cat_nominal","IFN_lambda1","isolation_cat_nominalSomewhat Isolated",-0.770483383449496,0.321116651793306,-1.41093035099377,-0.13003641590522,-2.39938782105088,0.0190880173158728
0,"isolation_cat_nominal","IFN_lambda1","isolation_cat_nominalVery Isolated",-0.476143750460318,0.390522157608215,-1.2550156345631,0.302728133642462,-1.21924900081598,0.226842274492115
0,"isolation_cat_nominal","IFN_lambda1","isolation_cat_nominalMost Isolated",-0.686408459944445,0.44739933694928,-1.57871830133791,0.20590138144902,-1.5342187689077,0.129483490022041
