"race_dichotomized","exposure","outcome_PC1","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
0,"social_relationships_ordinal","IL_10","social_relationships_ordinal.L",-0.401020763680906,0.420645222502396,-0.953346768793081,-1.23997120632893,0.437929678967121,0.343694931697218
0,"social_relationships_ordinal","IL_10","social_relationships_ordinal.Q",-0.120184810928661,0.34638280327256,-0.346971067250386,-0.811023528654792,0.570653906797471,0.729654018119159
0,"social_relationships_ordinal","IL_10","social_relationships_ordinal.C",0.0156561734513845,0.251037227501866,0.0623659431200025,-0.485021789514483,0.516334136417252,0.950449152994362
1,"social_relationships_ordinal","IL_10","social_relationships_ordinal.L",-0.850900786918902,0.282115782823484,-3.01614031800305,-1.42789234846296,-0.273909225374841,0.0052819006077536
1,"social_relationships_ordinal","IL_10","social_relationships_ordinal.Q",-0.0979874685634919,0.246243078371727,-0.397929839130627,-0.601611111619355,0.405636174492371,0.693596218591365
1,"social_relationships_ordinal","IL_10","social_relationships_ordinal.C",0.115801958727742,0.204161681943166,0.567207115583909,-0.301755564970089,0.533359482425574,0.574938278450148
0,"social_relationships_ordinal","IFN_gamma","social_relationships_ordinal.L",-0.589826033702359,0.423166035204177,-1.39384067867774,-1.43380407875464,0.254152011349924,0.167774997217988
0,"social_relationships_ordinal","IFN_gamma","social_relationships_ordinal.Q",-0.205951971865046,0.348458581442519,-0.591037164338052,-0.900930698609148,0.489026754879055,0.556399219824111
0,"social_relationships_ordinal","IFN_gamma","social_relationships_ordinal.C",0.0372256476419199,0.252541625502494,0.147404007429865,-0.466452742527275,0.540904037811115,0.883236889749295
1,"social_relationships_ordinal","IFN_gamma","social_relationships_ordinal.L",-0.757847063674414,0.398148752789588,-1.90342694373557,-1.57215269485785,0.0564585675090175,0.0669527196623015
1,"social_relationships_ordinal","IFN_gamma","social_relationships_ordinal.Q",0.103403205480159,0.347521764133683,0.297544545844277,-0.6073586078123,0.814165018772617,0.768171937329947
