"race_dichotomized","exposure","outcome_PC2","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
0,"social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.L",-0.116298317232649,0.55018512487575,-0.211380337225425,-1.21360794862931,0.981011314164011,0.833204703207334
0,"social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.Q",-0.266581209454902,0.453053204169554,-0.588410383154766,-1.17016733345751,0.637004914547705,0.558150701110358
0,"social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.C",0.42393709817243,0.328345458293632,1.29113129925894,-0.230927269329908,1.07880146567477,0.200905776667249
1,"social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.L",0.136798180045397,0.349844577587698,0.391025583385252,-0.578714320176358,0.852310680267151,0.698636449203517
1,"social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.Q",-0.393725720863095,0.305359752916597,-1.28938315250286,-1.01825653904244,0.230805097316247,0.207454405370201
1,"social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.C",0.294345211564918,0.25317568788305,1.16261246893851,-0.223457209960834,0.81214763309067,0.254465134298289
0,"social_relationships_ordinal","VEGF","social_relationships_ordinal.L",-0.111929750571433,0.471643973883916,-0.237318309507294,-1.05259399562876,0.828734494485889,0.81310305586363
0,"social_relationships_ordinal","VEGF","social_relationships_ordinal.Q",-0.233029350722659,0.38837802756595,-0.600006525042379,-1.00762490229668,0.541566200851365,0.550439357619738
0,"social_relationships_ordinal","VEGF","social_relationships_ordinal.C",0.183987887320788,0.281472816611167,0.653661300355525,-0.37739194408329,0.745367718724865,0.515471602760395
1,"social_relationships_ordinal","VEGF","social_relationships_ordinal.L",0.274075960109594,0.456917892458879,0.599836348352805,-0.660426057568108,1.2085779777873,0.553273751815065
1,"social_relationships_ordinal","VEGF","social_relationships_ordinal.Q",-0.0876069172202381,0.398818057168372,-0.21966637579615,-0.903281429558768,0.728067595118291,0.827669904025401
1,"social_relationships_ordinal","VEGF","social_relationships_ordinal.C",0.0876468752939053,0.330662554574972,0.265064411077828,-0.58863398286615,0.763927733453961,0.792834889810398
0,"social_relationships_ordinal","IL_18","social_relationships_ordinal.L",0.866421051496259,0.40790426138291,2.12407943118527,0.0528816545445683,1.67996044844795,0.0371980477149078
0,"social_relationships_ordinal","IL_18","social_relationships_ordinal.Q",0.276235361690696,0.335891183273407,0.822395393051585,-0.393678479746525,0.946149203127916,0.413644545347583
0,"social_relationships_ordinal","IL_18","social_relationships_ordinal.C",0.56951120718253,0.243433538254863,2.33949360989972,0.083998324237261,1.0550240901278,0.0221683263021871
1,"social_relationships_ordinal","IL_18","social_relationships_ordinal.L",-0.742194799702907,0.374546000344724,-1.98158516983176,-1.50822738195018,0.0238377825443682,0.0570761865705091
1,"social_relationships_ordinal","IL_18","social_relationships_ordinal.Q",0.90997956829365,0.326920242439642,2.78349104816186,0.241352597842883,1.57860653874442,0.00936589344100595
1,"social_relationships_ordinal","IL_18","social_relationships_ordinal.C",-0.211914088653457,0.271051625081569,-0.781821870980057,-0.766276906818522,0.342448729511608,0.440656135402701
0,"social_relationships_ordinal","VILIP_1","social_relationships_ordinal.L",-0.574259363788135,0.274252706029566,-2.09390591656086,-1.12123913869718,-0.0272795888790954,0.0398914206182644
0,"social_relationships_ordinal","VILIP_1","social_relationships_ordinal.Q",-0.196123157373105,0.225835017344254,-0.868435549453086,-0.646536897101975,0.254290582355766,0.388123659011877
0,"social_relationships_ordinal","VILIP_1","social_relationships_ordinal.C",0.0555207700742982,0.163671510511817,0.339220734877312,-0.270911764630117,0.381953304778714,0.735459036412267
1,"social_relationships_ordinal","VILIP_1","social_relationships_ordinal.L",0.519567297945162,0.68152887612465,0.762355515880056,-0.874315761474359,1.91345035736468,0.452004339064542
1,"social_relationships_ordinal","VILIP_1","social_relationships_ordinal.Q",-0.474929689313492,0.594868414579844,-0.798377721313267,-1.69157220398067,0.741712825353691,0.431141228202229
1,"social_relationships_ordinal","VILIP_1","social_relationships_ordinal.C",-0.0252308170748125,0.493209136510818,-0.0511564267712205,-1.03395676283741,0.983495128687788,0.959551616331303
0,"social_relationships_ordinal","sRAGE","social_relationships_ordinal.L",-0.0950104944075812,0.491072355248473,-0.193475550786213,-1.07442342428002,0.884402435464857,0.847146862670392
0,"social_relationships_ordinal","sRAGE","social_relationships_ordinal.Q",-0.250550277882809,0.404376443428299,-0.619596620808686,-1.05705366378225,0.555953108016632,0.537534993181652
0,"social_relationships_ordinal","sRAGE","social_relationships_ordinal.C",0.451687030855067,0.293067497191617,1.5412389131632,-0.132817661797791,1.03619172350793,0.127767417191225
1,"social_relationships_ordinal","sRAGE","social_relationships_ordinal.L",0.0463294225910156,0.387256337395118,0.119635027544419,-0.745698717753223,0.838357562935255,0.905597226371459
1,"social_relationships_ordinal","sRAGE","social_relationships_ordinal.Q",-0.348889279799603,0.338014384323897,-1.03217287778287,-1.04020631808607,0.342427758486867,0.310522813254116
1,"social_relationships_ordinal","sRAGE","social_relationships_ordinal.C",0.358649184418455,0.280249847755614,1.27974800803891,-0.214526111414505,0.931824480251415,0.210777525028047
0,"social_relationships_ordinal","sTREM_1","social_relationships_ordinal.L",-0.429502602257292,0.497012805807675,-0.864168080255649,-1.42076338718565,0.561758182671061,0.390447180481933
0,"social_relationships_ordinal","sTREM_1","social_relationships_ordinal.Q",-0.271773574096349,0.409268142673467,-0.664047712878502,-1.08803314650998,0.544485998317279,0.508841184917454
